Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Bat Cave,Cavern/Cave,St. Vincent,,,,,,,,,Niue,Cavern/Cave,Cathedral Cave,,,The Magnet (Belongas),Geographic Site,Indonesia,,,,,,,,,,,,Sea Tiger,Wreck,USA
Bat Island (Islas Murciélagos),Geographic Site,Costa Rica,,,,,,,,,Niue,Cavern/Cave,Chimney Caverns,,,Menjangan Island - POS II,Geographic Site,Indonesia,,,,,,,,,,,,Corsair Wreck,Wreck,USA
Batu Bolong,Geographic Site,Indonesia,,,,,,,,,Lanai,Cavern/Cave,Cathedral I,,,Gili Trawangan - Shark Point,Geographic Site,Indonesia,,,,,,,,,,,,Hermes Wreck,Wreck,Bermuda
Batu Kelebit,Geographic Site,Indonesia,,,,,,,,,Lanai,Cavern/Cave,Cathedral II,,,Gili Air - Turtle Heaven,Geographic Site,Indonesia,,,,,,,,,,,,Ocean Revival Park - Oliveira e Carmo,Wreck,Portugal
Bay of Island - HMNZS Canterbury,Wreck,New Zealand,,,,,,,,,Kona,Cavern/Cave,Au Au Crater,,,Julian Rocks (Nguthungulli),Geographic Site,Australia,,,,,,,,,,,,Ocean Revival Park - Zambeze,Wreck,Portugal
Bay of Island - Rainbow Warrior Memorial,Wreck,New Zealand,,,,,,,,,Bonne Terre Mine,Cavern/Cave,USA,,,Wolf Rock,Geographic Site,Australia,,,,,,,,,,,,Ocean Revival Park - Almeida Carvalho,Wreck,Portugal
Bay Wall,Geographic Site,France,,,,,,,,,Homestead Crater,Cavern/Cave,USA,,,Flinders Reef (Moreton),Geographic Site,Australia,,,,,,,,,,,,Ocean Revival Park - Hermenegildo Capelo,Wreck,Portugal
Bells to Blue Hole,Geographic Site,Egypt,,,,,,,,,Ginnie Springs - Devil’s Eye,Cavern/Cave,USA,,,Ribbon Reef #10 - Cod Hole,Geographic Site,Australia,,,,,,,,,,,,Tabaiba - El Peñón Wreck,Wreck,Spain
Benwood,Wreck,USA,,,,,,,,,Peacock Springs,Cavern/Cave,USA,,,Steve’s Bommie (Ribbon #3),Geographic Site,Australia,,,,,,,,,,,,Baron Gautsch,Wreck,Croatia
Berlengas - Nau dos Corvos,Geographic Site,Portugal,,,,,,,,,Madison Blue Spring,Cavern/Cave,USA,,,Osprey Reef - North Horn,Geographic Site,Australia,,,,,,,,,,,,Teti Wreck,Wreck,Croatia
Berlengas Island - Caves,Cavern/Cave,Portugal,,,,,,,,,Hudson Grotto,Cavern/Cave,USA,,,Ningaloo Reef - Lighthouse,Geographic Site,Australia,,,,,,,,,,,,B - 17 Bomber Wreck,Wreck,Croatia
Bianca C,Wreck,Grenada,,,,,,,,,King Spring,Cavern/Cave,USA,,,Muiron,Geographic Site,Australia,,,,,,,,,,,,Don Pedro Wreck,Wreck,Spain
Bias Tugal (White Sand Beach),Beach,Indonesia,,,,,,,,,Les Heures Saines Caves,Cavern/Cave,Guadeloupe,,,Lonsdale Wall,Geographic Site,Australia,,,,,,,,,,,,RMS Rhone,Wreck,British Virgin Islands
Big Sur - Jade Cove,Beach,USA,,,,,,,,,Bat Cave,Cavern/Cave,St. Vincent,,,Browning Pass Wall,Geographic Site,Canada,,,,,,,,,,,,The James Eagan Layne,Wreck,
Big Sur - Partington Canyon,Geographic Site,USA,,,,,,,,,The Crack,Cavern/Cave,Turks & Caicos,,,Race Rocks,Geographic Site,Canada,,,,,,,,,,,,MV Lucy,Wreck,
Bimini Road (Atlantis Stones),Other,Bahamas,,,,,,,,,Stargate Blue Hole,Cavern/Cave,Bahamas,,,Granite Point Wall,Geographic Site,Canada,,,,,,,,,,,,Kristiansund - Wreck Frankenwald Area,Wreck,Norway
Bird,Geographic Site,Seychelles,,,,,,,,,Uncle Charlie’s Blue Hole,Cavern/Cave,Bahamas,,,Octopus Hole,Geographic Site,USA,,,,,,,,,,,,Chikuzen Wreck,Wreck,British Virgin Islands
Bird Island,Geographic Site,Seychelles,,,,,,,,,Uncle Tom’s Blue Hole,Cavern/Cave,Bahamas,,,Protea Banks,Geographic Site,South Africa,,,,,,,,,,,,St George Wreck,Wreck,Dominican Republic
Black Coral Garden,Geographic Site,Turks & Caicos,,,,,,,,,Guardian Blue Hole,Cavern/Cave,Bahamas,,,Aliwal Shoal,Geographic Site,South Africa,,,,,,,,,,,,Atlantic Princess Wreck,Wreck,Dominican Republic
Black Forest,Geographic Site,Philippines,,,,,,,,,Deep Blue Hole,Cavern/Cave,Bahamas,,,Sodwana Bay - Two Mile,Geographic Site,South Africa,,,,,,,,,,,,Antilla Wreck,Wreck,Aruba
Black Forest,Geographic Site,Turks and Caicos,,,,,,,,,Cat Cay Blue Hole,Cavern/Cave,Bahamas,,,Shark Alley,Geographic Site,South Africa,,,,,,,,,,,,Jane Sea Wreck,Wreck,Aruba
Black Hills,Geographic Site,Honduras,,,,,,,,,Cypress Tunnels,Cavern/Cave,Belize,,,Manta,Geographic Site,Mozambique,,,,,,,,,,,,Pedernales Wreck,Wreck,Aruba
Black Rock,Beach,USA,,,,,,,,,Corn Island - White Hole,Cavern/Cave,Nicaragua,,,Giants Castle,Geographic Site,Mozambique,,,,,,,,,,,,MV Maverick,Wreck,
Blairgowrie Pier,Other,Australia,,,,,,,,,Malpelo - La Catedral,Cavern/Cave,Colombia,,,Mnemba,Geographic Site,Tanzania,,,,,,,,,,,,Nahoon Wreck,Wreck,Martinique
Bligh Water - - - Passage,Geographic Site,Vatu-i-Ra,,,,,,,,,Mochima National Park - Cueva de los Osos,Cavern/Cave,Venezuela,,,Mafia Island - Kinasi,Geographic Site,Tanzania,,,,,,,,,,,,Mataora Wreck,Wreck,Cook Islands
Bloody Bay Wall,Geographic Site,Cayman Islands,,,,,,,,,La Tortuga - Boca del Inferno,Cavern/Cave,Venezuela,,,Nosy Tanikely Marine Reserve,Geographic Site,Madagascar,,,,,,,,,,,,Whitefish Point - SS Cedarville,Wreck,USA
Blue,Beach,Indonesia,,,,,,,,,Fernando de Noronha - Caverna da Sapata,Cavern/Cave,Brazil,,,Brissare Rocks,Geographic Site,Seychelles,,,,,,,,,,,,Whitefish Point - SS John B. Cowle,Wreck,USA
Blue Bay Wall,Geographic Site,Curaçao,,,,,,,,,Fernando de Noronha - Buraco do Inferno,Cavern/Cave,Brazil,,,Kerama Island - Tokashiki Reef,Geographic Site,Japan,,,,,,,,,,,,Straits of Mackinac - Cedarville,Wreck,USA
Blue Belt Wreck,Wreck,Sudan,,,,,,,,,Sal - Buracona Blue Eye,Cavern/Cave,Cape Verde,,,Saltstraumen,Geographic Site,Norway,,,,,,,,,,,,Straits of Mackinac - Eber Ward,Wreck,USA
Blue Cave,Cavern/Cave,Taiwan,,,,,,,,,Sal - Olho Azul (Blue Eye Cave),Cavern/Cave,Cape Verde,,,The Manacles,Geographic Site,,,,,,,,,,,,,The Straits - Sandusky,Wreck,USA
Blue Corner,Geographic Site,Indonesia,,,,,,,,,Pico - Arcos do Pico,Cavern/Cave,Portugal,,,Farne,Geographic Site,,,,,,,,,,,,,Lake Superior - Madeira,Wreck,USA
Blue Corner,Geographic Site,Palau,,,,,,,,,Gato Island Cave,Cavern/Cave,Philippines,,,Princess Alice Bank,Geographic Site,Portugal,,,,,,,,,,,,Cristóbal Colón Wreck,Wreck,Bermuda
Blue Grotto,Cavern/Cave,USA,,,,,,,,,Catalina Island - Blue Cavern Point,Cavern/Cave,USA,,,Formigas Islets,Geographic Site,Portugal,,,,,,,,,,,,Armageddon Wreck,Wreck,
Blue Grotto (Grotta Azzurra),Cavern/Cave,Italy,,,,,,,,,Channel Island - Anacapa,Cavern/Cave,Cathedral Cove,,,Garajau Marine Reserve,Geographic Site,Portugal,,,,,,,,,,,,Cartanser Senior,Wreck,
Blue Heron Bridge (Phil Foster Park),Beach,USA,,,,,,,,,Channel Island - Santa Cruz Island,Cavern/Cave,Painted Cave,,,Blue Corner,Geographic Site,Palau,,,,,,,,,,,,Joe’s Tug,Wreck,USA
Blue Hole,Cavern/Cave,Belize,,,,,,,,,Bonne Terre Mine,Cavern/Cave,USA,,,German,Geographic Site,Palau,,,,,,,,,,,,Adolphus Busch Sr.,Wreck,USA
Blue Hole,Geographic Site,Malta,,,,,,,,,Homestead Crater,Cavern/Cave,USA,,,Ulong,Geographic Site,Palau,,,,,,,,,,,,The Duane’s Sister Ship (USS Bibb area),Wreck,USA
Blue Hole,Geographic Site,Egypt,,,,,,,,,Devil’s Den,Cavern/Cave,USA,,,Reef,Geographic Site,Kimbe Bay,,,,,,,,,,,,HMS Rhone,Wreck,Bow Section
Blue Hole,Lake,USA,,,,,,,,,Blue Grotto,Cavern/Cave,USA,,,Deacon’s,Geographic Site,Papua New Guinea,,,,,,,,,,,,HMS Rhone,Wreck,Stern Section
Blue Hole National Park,Geographic Site,Bahamas,,,,,,,,,Peacock Springs,Cavern/Cave,USA,,,Devil’s Highway (Manta),Geographic Site,Solomon Islands,,,,,,,,,,,,Sapona Wreck,Wreck,Bahamas
Blue Holes,Cavern/Cave,Palau,,,,,,,,,Madison Blue Spring,Cavern/Cave,USA,,,Great White Wall,Geographic Site,Fiji,,,,,,,,,,,,George Town Wreck,Wreck,Bahamas
Blue Lake,Lake,Russia,,,,,,,,,Hudson Grotto,Cavern/Cave,USA,,,Nigali Passage,Geographic Site,Fiji,,,,,,,,,,,,Endymion Wreck,Wreck,Turks and Caicos
Blue Magic,Geographic Site,Indonesia,,,,,,,,,King Spring,Cavern/Cave,USA,,,E6,Geographic Site,Fiji,,,,,,,,,,,,Lesleen M Wreck,Wreck,Saint Lucia
Blue Wall,Geographic Site,Micronesia,,,,,,,,,Ginnie Springs - Devil’s Ear,Cavern/Cave,USA,,,Grand Central Station,Geographic Site,Namena,,,,,,,,,,,,Daini Koyomaru,Wreck,Sint Maarten
Bluefish Cove,Beach,USA,,,,,,,,,Not Listed,,,,,Lagoon - Shark Reef Marine Reserve,Geographic Site,Beqa,,,,,,,,,,,,Rosa Maria Wreck,Wreck,Sint Maarten
Bluefish Cove (Point Lobos),Beach,USA,,,,,,,,,,,,,,Needle,Geographic Site,Prony,,,,,,,,,,,,Isla Uvita Wreck,Wreck,Costa Rica
Bluff,Geographic Site,Hong Kong,,,,,,,,,,,,,,Poor Knights - Blue Maomao Arch,Geographic Site,New Zealand,,,,,,,,,,,,Isla del Caño - El Barco Hundido,Wreck,Costa Rica
Boa Vista - Cabo Santa Maria Wreck,Wreck,Cape Verde,,,,,,,,,,,,,,Molokini Crater,Geographic Site,USA,,,,,,,,,,,,Cartagena - El Varadero Wreck,Wreck,Colombia
Boa Vista - Curral Velho,Geographic Site,Cape Verde,,,,,,,,,,,,,,Manta Night Dive (Keauhou),Geographic Site,USA,,,,,,,,,,,,Islas Perlas - Wreck Express,Wreck,Panama
Bocas del Toro - Crawl Cay,Geographic Site,Panama,,,,,,,,,,,,,,North Rock,Geographic Site,Bermuda,,,,,,,,,,,,Apra Harbor,Wreck,Tokai Maru
Bocas del Toro - Hospital Point,Geographic Site,Panama,,,,,,,,,,,,,,Maaya Thila,Geographic Site,Maldives,,,,,,,,,,,,Apra Harbor,Wreck,SMS Cormoran
Bocas del Toro - Tiger Rock,Geographic Site,Panama,,,,,,,,,,,,,,Fish Head (Mushimasmigili Thila),Geographic Site,Maldives,,,,,,,,,,,,Lagoon - Heian Maru,Wreck,Chuuk
Bodø - Skerjøy Pinnacle,Geographic Site,Norway,,,,,,,,,,,,,,Banana Reef (Gaathugiri),Geographic Site,Maldives,,,,,,,,,,,,Lagoon - Nippo Maru,Wreck,Chuuk
Boo Windows,Cavern/Cave,Indonesia,,,,,,,,,,,,,,HP Reef (Girifushi Thila),Geographic Site,Maldives,,,,,,,,,,,,Lagoon - Betty Bomber,Wreck,Chuuk
Booby High Shoals,Geographic Site,St. Kitts,,,,,,,,,,,,,,Lankan Manta Point,Geographic Site,Maldives,,,,,,,,,,,,Lagoon - Kensho Maru,Wreck,Chuuk
Boot,Geographic Site,Barbados,,,,,,,,,,,,,,Fotteyo Kandu,Geographic Site,Maldives,,,,,,,,,,,,USS Arkansas,Wreck,Bikini Atoll
Breakers,Geographic Site,USA,,,,,,,,,,,,,,Alimatha House Reef (Nurse Shark Night),Geographic Site,Maldives,,,,,,,,,,,,HIJMS Nagato Tower,Wreck,Bikini Atoll
Bretagne (Nice Airport Reef),Geographic Site,France,,,,,,,,,,,,,,Kuredu Express,Geographic Site,Maldives,,,,,,,,,,,,USS Saratoga Flight Deck,Wreck,Bikini Atoll
Brewers,Beach,,,,,,,,,,,,,,,Rangali Madivaru (Manta),Geographic Site,Maldives,,,,,,,,,,,,USS Lamson,Wreck,Bikini Atoll
Brissare Rocks,Geographic Site,Seychelles,,,,,,,,,,,,,,Maamigili Beyru (Whale Shark Zone),Geographic Site,Maldives,,,,,,,,,,,,Russell Island - White Beach Wrecks,Wreck,Russell Islands
British Loyalty Wreck,Wreck,Maldives,,,,,,,,,,,,,,Fushivaru Thila,Geographic Site,Maldives,,,,,,,,,,,,Honiara - Bonegi I (Kyusyu Maru),Wreck,Solomon Islands
Broken Rock,Cavern/Cave,Maldives,,,,,,,,,,,,,,Barracuda Point,Geographic Site,Malaysia,,,,,,,,,,,,Honiara - Bonegi II (Hirokawa Maru),Wreck,Solomon Islands
Brothers,Geographic Site,Egypt,,,,,,,,,,,,,,South Point,Geographic Site,Malaysia,,,,,,,,,,,,Iron Bottom Sound - Kinugawa Maru,Wreck,Solomon Islands
Browning Pass - Browning Wall,Geographic Site,Canada,,,,,,,,,,,,,,Sipadan Drop - Off,Geographic Site,Malaysia,,,,,,,,,,,,Iron Bottom Sound - Tassafaronga Wrecks,Wreck,Solomon Islands
Browning Pass Wall,Geographic Site,Canada,,,,,,,,,,,,,,Layang Layang Wall,Geographic Site,Malaysia,,,,,,,,,,,,SS President Coolidge - Engine Room,Wreck,Vanuatu
Buracona - Blue Eye,Cavern/Cave,Cape Verde,,,,,,,,,,,,,,Tiger,Geographic Site,Malaysia,,,,,,,,,,,,Million Dollar Point - Machinery Dump,Wreck,Vanuatu
Butterfly House,Beach,USA,,,,,,,,,,,,,,Chebeh,Geographic Site,Malaysia,,,,,,,,,,,,MV Konanda Wreck,Wreck,Vanuatu
C - 130 Hercules Wreck,Wreck,Jordan,,,,,,,,,,,,,,Tanjung Tokong,Geographic Site,Malaysia,,,,,,,,,,,,British Loyalty Wreck,Wreck,Maldives
Cabbage Patch,Geographic Site,Bahamas,,,,,,,,,,,,,,Tokong Laut (Temple),Geographic Site,Malaysia,,,,,,,,,,,,Yanbu - Iona Wreck,Wreck,Saudi Arabia
Cabo Douglas - Iguana,Geographic Site,Ecuador,,,,,,,,,,,,,,Lekuan Wall,Geographic Site,Indonesia,,,,,,,,,,,,Port - Umbria Wreck,Wreck,Sudan
Cabo Marshall,Geographic Site,Ecuador,,,,,,,,,,,,,,Sahaung,Geographic Site,Indonesia,,,,,,,,,,,,Stella Maru Wreck,Wreck,Mauritius
Cabo Pucuna,Geographic Site,Ecuador,,,,,,,,,,,,,,Mandolin,Geographic Site,Indonesia,,,,,,,,,,,,Oslofjord - WWII Wreck Fernedale,Wreck,Norway
Cabo Pulmo National Park,Geographic Site,Mexico,,,,,,,,,,,,,,Kal’s Dream,Geographic Site,Indonesia,,,,,,,,,,,,Kristiansand - Seattle Wreck,Wreck,Norway
Cabrera National Park - La Catedral,Cavern/Cave,Spain,,,,,,,,,,,,,,Banda Island - Lava Flow,Geographic Site,Indonesia,,,,,,,,,,,,Narvik - Stråssa Wrecks,Wreck,Norway
Cairn’s Wall,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,Roma,Geographic Site,Indonesia,,,,,,,,,,,,Cavtat Wrecks,Wreck,Croatia
Caja de Muertos,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Maratua,Geographic Site,Indonesia,,,,,,,,,,,,Tabaiba Wreck,Wreck,Spain
Calavera (Temple of Doom) Cenote,Cavern/Cave,Mexico,,,,,,,,,,,,,,Sangalaki Manta Point,Geographic Site,Indonesia,,,,,,,,,,,,Fury Shoals - Abu Galawa Soraya,Wreck,Egypt
Cane Bay Wall,Geographic Site,,,,,,,,,,,,,,,Monad Shoal (Threshers),Geographic Site,Philippines,,,,,,,,,,,,Numidia Wreck,Wreck,Egypt
Cap La Houssaye,Geographic Site,Reunion,,,,,,,,,,,,,,Sardine Run,Geographic Site,Philippines,,,,,,,,,,,,Aida Wreck,Wreck,Egypt
Cape Arago,Geographic Site,Simpson,,,,,,,,,,,,,,Black Forest,Geographic Site,Philippines,,,,,,,,,,,,Blue Belt Wreck,Wreck,Sudan
Cape Douglas,Geographic Site,Ecuador,,,,,,,,,,,,,,Lighthouse,Geographic Site,Philippines,,,,,,,,,,,,Aquarium Wrecks,Wreck,French Polynesia
Cape Kri,Geographic Site,Indonesia,,,,,,,,,,,,,,The Canyons,Geographic Site,Philippines,,,,,,,,,,,,Christmas Island - Bay of Wrecks,Wreck,Kiritimati
Capernwray Quarry,Lake,,,,,,,,,,,,,,,Janao,Geographic Site,Philippines,,,,,,,,,,,,Baker Island - Wreck Point,Wreck,USA
Capital Wrecks,Wreck,St. Vincent,,,,,,,,,,,,,,Dinahogan,Geographic Site,Philippines,,,,,,,,,,,,Wreck of Akagi Maru,Wreck,Wake Island
Captain Dan,Wreck,USA,,,,,,,,,,,,,,Mikomoto,Geographic Site,Japan,,,,,,,,,,,,Midway Atoll,Wreck,Reef Hotel Wreck
Captain Keith Tibbetts (356),Wreck,Cayman Islands,,,,,,,,,,,,,,Munseom,Geographic Site,South Korea,,,,,,,,,,,,Bay of Island - HMNZS Canterbury,Wreck,New Zealand
Cardona,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Seopseom,Geographic Site,South Korea,,,,,,,,,,,,Bay of Island - Rainbow Warrior Memorial,Wreck,New Zealand
Careless,Geographic Site,Egypt,,,,,,,,,,,,,,Shilang,Geographic Site,Taiwan,,,,,,,,,,,,HMAS Perth,Wreck,Australia
Carlisle Bay Wrecks,Wreck,Barbados,,,,,,,,,,,,,,Berlengas - Nau dos Corvos,Geographic Site,Portugal,,,,,,,,,,,,HMAS Swan,Wreck,Australia
Carmel River State Beach,Beach,USA,,,,,,,,,,,,,,El Toro Marine Reserve,Geographic Site,Spain,,,,,,,,,,,,SS Coolidge (ex reference),Wreck,Australia
Carmel River State Beach (North),Beach,USA,,,,,,,,,,,,,,La Restinga - El Bajón,Geographic Site,Spain,,,,,,,,,,,,SS Cedarville,Wreck,USA
Carnatic,Wreck,Egypt,,,,,,,,,,,,,,Las Eras,Geographic Site,Spain,,,,,,,,,,,,SS Daniel J. Morrell,Wreck,USA
Cartagena - El Varadero Wreck,Wreck,Colombia,,,,,,,,,,,,,,Bajo de Piles,Geographic Site,Spain,,,,,,,,,,,,SS Edmund Fitzgerald,Wreck,USA
Cartanser Senior,Wreck,,,,,,,,,,,,,,,La Llosa,Geographic Site,Spain,,,,,,,,,,,,SS Emperor,Wreck,USA
Carval Rock,Geographic Site,U.S. Virgin Islands,,,,,,,,,,,,,,Tabarca Marine Reserve,Geographic Site,Spain,,,,,,,,,,,,SS America,Wreck,USA
Carwash (Aktun Ha) Cenote,Cavern/Cave,Mexico,,,,,,,,,,,,,,Bretagne (Nice Airport Reef),Geographic Site,France,,,,,,,,,,,,SS Congdon,Wreck,USA
Carysfort,Geographic Site,USA,,,,,,,,,,,,,,Le Donator - Seagrass Plateau,Geographic Site,France,,,,,,,,,,,,SS Kamloops,Wreck,USA
Casino Point Dive Park,Beach,USA,,,,,,,,,,,,,,Secca di Spargi,Geographic Site,Italy,,,,,,,,,,,,SS Monarch,Wreck,USA
Castle Rock,Geographic Site,Indonesia,,,,,,,,,,,,,,Secca delle Formiche,Geographic Site,Italy,,,,,,,,,,,,SS Algoma,Wreck,USA
Cat Cay Blue Hole,Cavern/Cave,Bahamas,,,,,,,,,,,,,,The Indians,Geographic Site,British Virgin Islands,,,,,,,,,,,,Arabia,Wreck,USA
Catalina,Geographic Site,Costa Rica,,,,,,,,,,,,,,St Abbs & Eyemouth Voluntary Marine Reserve,Geographic Site,,,,,,,,,,,,,Sweepstakes,Wreck,USA
Catalina Island - Blue Cavern Point,Cavern/Cave,USA,,,,,,,,,,,,,,Lundy Marine Protected Area,Geographic Site,,,,,,,,,,,,,Niagara II,Wreck,USA
Catalina Island - Casino Point Dive Park,Beach,USA,,,,,,,,,,,,,,Hilsea Point,Geographic Site,,,,,,,,,,,,,Forest City,Wreck,USA
Catalina Island - Farnsworth Bank,Geographic Site,USA,,,,,,,,,,,,,,HMS Scylla Reef,Geographic Site,area,,,,,,,,,,,,John B. King,Wreck,USA
Catalina Island - Ship Rock,Geographic Site,USA,,,,,,,,,,,,,,Skomer Marine Conservation Zone,Geographic Site,,,,,,,,,,,,,Robert Gaskin,Wreck,USA
Catalina Wall,Geographic Site,Dominican Republic,,,,,,,,,,,,,,Lofoten - Saltstraumen Pinnacle,Geographic Site,Norway,,,,,,,,,,,,Lillie Parsons,Wreck,USA
Cates Park,Beach,Canada,,,,,,,,,,,,,,Älgön,Geographic Site,Sweden,,,,,,,,,,,,Oconto,Wreck,USA
Cathedral,Cavern/Cave,Mauritius,,,,,,,,,,,,,,West Caicos,Geographic Site,Spanish Anchor,,,,,,,,,,,,Manasoo,Wreck,USA
Cathedral,Cavern/Cave,South Africa,,,,,,,,,,,,,,Northwest Point,Geographic Site,,,,,,,,,,,,,Wexford,Wreck,USA
Cathedral (La Cueva),Cavern/Cave,Spain,,,,,,,,,,,,,,Cay - Gully,Geographic Site,France,,,,,,,,,,,,Mary Ward,Wreck,USA
Cathedral (Nine Mile),Cavern/Cave,South Africa,,,,,,,,,,,,,,Grace Bay,Geographic Site,Pinnacles,,,,,,,,,,,,Charles S. Price,Wreck,USA
Cathedral Cave,Cavern/Cave,Australia,,,,,,,,,,,,,,Current Cut,Geographic Site,Bahamas,,,,,,,,,,,,The Castor Wreck,Wreck,USA
Cathedral Cave,Cavern/Cave,New Zealand,,,,,,,,,,,,,,The Washing Machine,Geographic Site,Bahamas,,,,,,,,,,,,Captain Dan,Wreck,USA
Cathedral Rock,Geographic Site,Philippines,,,,,,,,,,,,,,Lost Blue Hole,Geographic Site,Bahamas,,,,,,,,,,,,USS Oriskany,Wreck,USA
Cave,Cavern/Cave,Philippines,,,,,,,,,,,,,,The Blue Hole,Geographic Site,Bahamas,,,,,,,,,,,,Carlisle Bay Wrecks,Wreck,Barbados
Cave of Love (Hidden Beach),Cavern/Cave,Mexico,,,,,,,,,,,,,,Mixing Bowl (Three Fathom Wall),Geographic Site,Cayman Islands,,,,,,,,,,,,River Taw Wreck,Wreck,St. Kitts
Caves & Tunnels,Cavern/Cave,Cyprus,,,,,,,,,,,,,,Wilderness Wall,Geographic Site,Cayman Islands,,,,,,,,,,,,Talata Wreck,Wreck,St. Kitts
Caves of Tutuba,Cavern/Cave,Vanuatu,,,,,,,,,,,,,,The Indians - Coral Gardens,Geographic Site,British Virgin Islands,,,,,,,,,,,,Capital Wrecks,Wreck,St. Vincent
Cavtat Wrecks,Wreck,Croatia,,,,,,,,,,,,,,Airport Wall,Geographic Site,Dominican Republic,,,,,,,,,,,,Debbie II Wreck,Wreck,Aruba
Cay - Gully,Geographic Site,France,,,,,,,,,,,,,,La Parguera Wall,Geographic Site,Puerto Rico,,,,,,,,,,,,Renaissance Airplane Wreck,Wreck,Aruba
Cay Wall,Geographic Site,France,,,,,,,,,,,,,,Tamarindo,Geographic Site,Puerto Rico,,,,,,,,,,,,Lesleen M Wreck,Wreck,St. Lucia
Cayo Diablo,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Purple Rain,Geographic Site,Grenada,,,,,,,,,,,,Daini Koyomaru Wreck,Wreck,St. Lucia
Cayo Enrique,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Flamingo,Geographic Site,Grenada,,,,,,,,,,,,Doc Poulson Wreck,Wreck,Cayman Islands
Cayo Icacos,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Kelleston Drain,Geographic Site,Brain Coral,,,,,,,,,,,,Oro Verde Wreck,Wreck,Cayman Islands
Cayo Lobos,Geographic Site,Puerto Rico,,,,,,,,,,,,,,Superman’s Flight,Geographic Site,,,,,,,,,,,,,Balboa Wreck,Wreck,Cayman Islands
Cayo Santiago,Geographic Site,Puerto Rico,,,,,,,,,,,,,,The Pitons Wall,Geographic Site,Mexico,,,,,,,,,,,,The Dome,Wreck,Turks & Caicos
Cayos Cochinos - Pelican Point,Geographic Site,Honduras,,,,,,,,,,,,,,Coiba - Wahoo Rock,Geographic Site,Panama,,,,,,,,,,,,James Bond Wrecks,Wreck,Bahamas
Cayos Cochinos - Sea Mounts,Geographic Site,Honduras,,,,,,,,,,,,,,Isla Iguana,Geographic Site,Panama,,,,,,,,,,,,Bahama Mama Wreck,Wreck,Bahamas
Cays,Geographic Site,Trinidad,,,,,,,,,,,,,,Malpelo - La Nevera,Geographic Site,Colombia,,,,,,,,,,,,Cessna Airplane Wreck,Wreck,Bahamas
Cedar Pride,Wreck,Jordan,,,,,,,,,,,,,,Gorgona Island - El Remanso,Geographic Site,Colombia,,,,,,,,,,,,Sapona Wreck,Wreck,Bahamas
Cessna Airplane Wreck,Wreck,Bahamas,,,,,,,,,,,,,,San Andrés - Blue Wall,Geographic Site,Colombia,,,,,,,,,,,,Theo’s Wreck,Wreck,Bahamas
Chagos Archipelago,Geographic Site,Peros Banhos,,,,,,,,,,,,,,Fernando de Noronha - Pedras Secas,Geographic Site,Brazil,,,,,,,,,,,,Sea Star Wreck,Wreck,Bahamas
Champagne,Geographic Site,Dominica,,,,,,,,,,,,,,Laje de Santos Marine Park,Geographic Site,Brazil,,,,,,,,,,,,Sugar Wreck,Wreck,Bahamas
Chandelier Cave,Cavern/Cave,Palau,,,,,,,,,,,,,,Rocky,Geographic Site,,,,,,,,,,,,,Roatán - El Aguila,Wreck,Honduras
Chankanaab,Geographic Site,Mexico,,,,,,,,,,,,,,Zabargad,Geographic Site,,,,,,,,,,,,,Roatán - Odyssey,Wreck,Honduras
Channel Island - Anacapa,Beach,Landing Cove,,,,,,,,,,,,,,St. John’s - Habili Ali,Geographic Site,Egypt,,,,,,,,,,,,Utila - Halliburton Wreck,Wreck,Honduras
Channel Island - Anacapa,Cavern/Cave,Cathedral Cove,,,,,,,,,,,,,,Fury Shoals - Sataya,Geographic Site,Egypt,,,,,,,,,,,,Fernando de Noronha - Naufragio Corveta Ipiranga,Wreck,Brazil
Channel Island - San Miguel Island,Geographic Site,Wyckoff Ledge,,,,,,,,,,,,,,Abu Dabbab (Dugong Bay),Geographic Site,Egypt,,,,,,,,,,,,Abrolhos Archipelago - Naufragio Rosalinda,Wreck,Brazil
Channel Island - Santa Cruz Island,Cavern/Cave,Painted Cave,,,,,,,,,,,,,,Farasan Banks,Geographic Site,Saudi Arabia,,,,,,,,,,,,Arraial do Cabo - Naufragio Pinguino,Wreck,Brazil
Charles Brown,Wreck,Cable Layer,,,,,,,,,,,,,,Five Sisters (Shi'b Suflani),Geographic Site,Saudi Arabia,,,,,,,,,,,,Angra dos Reis - Ilha Grande - Naufragio Aquidabã,Wreck,Brazil
Charles S. Price,Wreck,USA,,,,,,,,,,,,,,Dahlak Archipelago - Deset,Geographic Site,Eritrea,,,,,,,,,,,,Santos - Naufragio Moreia,Wreck,Brazil
Chatham,Geographic Site,St. Vincent,,,,,,,,,,,,,,Seven Brothers (Sawabi),Geographic Site,Djibouti,,,,,,,,,,,,Ilha Bela - Naufragio Velasquez,Wreck,Brazil
